Year,Season,Class,neighborhood,y,name
2006,Spring,Cold,2,0.402413221,Eastern Gulf of Maine
2006,Fall,Hot,1,41.59878605,Northeast Peak
2006,Fall,Hot,2,30.13884465,Stellwagen Bank
2006,Spring,Hot,1,161.8056887,Northeast Peak
2006,Spring,Hot,2,116.0023549,Stellwagen Bank
2007,Fall,Cold,1,0.008539512,Southern New England
2007,Fall,Cold,2,0.010044258,Central Georges
2007,Fall,Cold,3,0.021044728,Eastern Gulf of Maine
2007,Spring,Cold,1,0.049987195,Southern New England
2007,Spring,Cold,2,0.107805311,Eastern Gulf of Maine
2007,Fall,Hot,1,11.47754545,Northeast Peak
2007,Fall,Hot,2,12.04100289,Stellwagen Bank
2007,Spring,Hot,1,44.61181768,Northeast Peak
2007,Spring,Hot,2,36.82002763,Stellwagen Bank
2008,Fall,Cold,1,0.015233276,Southern New England
2008,Fall,Cold,2,0.015164248,Central Georges
2008,Fall,Cold,3,0.054185968,Eastern Gulf of Maine
2008,Spring,Cold,1,0.092966385,Southern New England
2008,Spring,Cold,2,0.20948859,Eastern Gulf of Maine
2008,Fall,Hot,1,52.93976658,Northeast Peak
2008,Fall,Hot,2,29.83866527,Stellwagen Bank
2008,Spring,Hot,1,123.7190523,Northeast Peak
2008,Spring,Hot,2,106.1372604,Stellwagen Bank
2009,Fall,Cold,1,0.022650262,Southern New England
2009,Fall,Cold,2,0.030433424,Eastern Gulf of Maine
2009,Spring,Cold,1,0.09661362,Southern New England
2009,Spring,Cold,2,0.20481815,Eastern Gulf of Maine
2009,Fall,Hot,1,69.12020204,Northeast Peak
2009,Fall,Hot,2,42.69380074,Stellwagen Bank
2009,Spring,Hot,1,103.938126,Northeast Peak
2009,Spring,Hot,2,90.32140982,Stellwagen Bank
2010,Fall,Cold,1,0.023878125,Southern New England
2010,Fall,Cold,2,0.073821526,Eastern Gulf of Maine
2010,Spring,Cold,1,0.093144858,Southern New England
2010,Spring,Cold,2,0.192223963,Eastern Gulf of Maine
2010,Fall,Hot,1,94.69258112,Northeast Peak
2010,Fall,Hot,2,55.96083286,Stellwagen Bank
2010,Spring,Hot,1,86.63911083,Northeast Peak
2010,Spring,Hot,2,70.97914544,Stellwagen Bank
2011,Fall,Cold,1,0.015046418,Southern New England
2011,Fall,Cold,2,0.043025434,Eastern Gulf of Maine
2011,Spring,Cold,1,0.087576438,Southern New England
2011,Spring,Cold,2,0.156285961,Eastern Gulf of Maine
2011,Fall,Hot,1,27.75682682,Northeast Peak
2011,Fall,Hot,2,36.94109782,Stellwagen Bank
2011,Spring,Hot,1,80.2277333,Northeast Peak
2011,Spring,Hot,2,78.08063598,Stellwagen Bank
2012,Fall,Cold,1,0.006139494,Southern New England
2012,Fall,Cold,2,0.015083392,Eastern Gulf of Maine
2012,Spring,Cold,1,0.03771875,Southern New England
2012,Spring,Cold,2,0.089784927,Eastern Gulf of Maine
2012,Fall,Hot,1,15.2953257,Northeast Peak
2012,Fall,Hot,2,13.69889958,Stellwagen Bank
2012,Spring,Hot,1,50.65263035,Northeast Peak
2012,Spring,Hot,2,63.00016571,Stellwagen Bank
2013,Fall,Cold,1,0.003200651,Southern New England
2013,Fall,Cold,2,0.017591551,Eastern Gulf of Maine
2013,Spring,Cold,1,0.022878319,Southern New England
2013,Spring,Cold,2,0.055279246,Eastern Gulf of Maine
2013,Fall,Hot,1,17.39347713,Northeast Peak
2013,Fall,Hot,2,10.90897213,Stellwagen Bank
2013,Spring,Hot,1,20.12958446,Northeast Peak
2013,Spring,Hot,2,28.24141047,Stellwagen Bank
2013,Spring,Hot,3,7.496038678,Stout Swell
2014,Fall,Cold,1,0.00366862,Southern New England
2014,Fall,Cold,2,0.028318386,Eastern Gulf of Maine
2014,Spring,Cold,1,0.032781843,Southern New England
2014,Spring,Cold,2,0.064612407,Eastern Gulf of Maine
2014,Fall,Hot,1,11.15717717,Northeast Peak to Lindenkohl
2014,Fall,Hot,2,9.693516186,Stellwagen and Cashes
2014,Spring,Hot,1,28.92933857,Northeast Peak
2014,Spring,Hot,2,21.58954306,Stellwagen Bank
2014,Spring,Hot,3,7.517819065,Wright Swell
2015,Fall,Cold,1,0.0109939,Southern New England
2015,Fall,Cold,2,0.075316639,Eastern Gulf of Maine
2015,Spring,Cold,1,0.04602117,Southern New England
2015,Spring,Cold,2,0.100508887,Eastern Gulf of Maine
2015,Fall,Hot,1,67.84374478,Northeast Peak
2015,Fall,Hot,2,12.20884142,South of Lindenkohl
2015,Fall,Hot,3,27.7371797,Stellwagen Bank
2015,Fall,Hot,4,32.34215647,Cashes Ledge
2015,Spring,Hot,1,61.04601692,Northeast Peak
2015,Spring,Hot,2,32.18306756,Stellwagen Bank
2016,Fall,Cold,1,0.015210195,Southern New England
2016,Fall,Cold,2,0.02585967,Eastern Gulf of Maine
2016,Spring,Cold,1,0.036590678,Southern New England
2016,Spring,Cold,2,0.115988337,Eastern Gulf of Maine
2016,Fall,Hot,1,22.30256273,Stellwagen and Cashes and Northeast Peak and Lindenkohl
2016,Spring,Hot,1,36.32937105,Northeast Peak
2016,Spring,Hot,2,24.2696718,Stellwagen and Cashes
2017,Fall,Cold,1,0.007548588,Southern New England
2017,Fall,Cold,2,0.061895195,Eastern Gulf of Maine
2017,Spring,Cold,1,0.062802971,Southern New England
2017,Spring,Cold,2,0.173036613,Eastern Gulf of Maine
2017,Fall,Hot,1,22.74214606,Northeast Peak to Jordan Basin
2017,Fall,Hot,2,21.87418545,Stellwagen and Cashes
2017,Spring,Hot,1,46.05760373,Northeast Peak
2017,Spring,Hot,2,32.58260978,Stellwagen and Cashes
2018,Fall,Cold,1,0.025390232,Southern New England
2018,Fall,Cold,2,0.048252373,Eastern Gulf of Maine
2018,Spring,Cold,1,0.078077361,Southern New England
2018,Spring,Cold,2,0.278555047,Eastern Gulf of Maine
2018,Fall,Hot,1,47.32106471,Northeast Peak
2018,Fall,Hot,2,46.77911507,Stellwagen and Cashes
2018,Fall,Hot,3,34.78151282,Sewell Ridge to Jordan Basin
2018,Spring,Hot,1,55.58661685,Northeast Peak to Sewell Ridge
2018,Spring,Hot,2,39.3094477,Stellwagen and Cashes
2019,Fall,Cold,1,0.009379368,Southern New England
2019,Fall,Cold,2,0.059179721,Eastern Gulf of Maine
2019,Spring,Cold,1,0.030226448,Southern New England
2019,Spring,Cold,2,0.097755276,Eastern Gulf of Maine
2019,Fall,Hot,1,26.60541443,Northeast Peak to Jordan Basin
2019,Fall,Hot,2,23.97498571,Stellwagen and Cashes
2019,Spring,Hot,1,22.86447762,Northeast Peak
2019,Spring,Hot,2,14.30914157,Stellwagen and Cashes
2020,Fall,Cold,1,0.011181938,Southern New England
2020,Fall,Cold,2,0.049390958,Eastern Gulf of Maine
2020,Spring,Cold,1,0.013272232,Southern New England
2020,Spring,Cold,2,0.03286177,Eastern Gulf of Maine
2020,Fall,Hot,1,18.1582433,Northeast Peak to Jordan Basin
2020,Fall,Hot,2,23.65150684,Stellwagen and Cashes
2020,Spring,Hot,1,15.18063728,Northeast Peak to Jordan Basin
2020,Spring,Hot,2,9.404686666,Cashes Ledge
2021,Fall,Cold,1,0.003431144,Southern New England
2021,Fall,Cold,2,0.028674832,Southern New England
2021,Fall,Cold,3,0.007135198,Eastern Gulf of Maine
2021,Spring,Cold,1,0.007274514,Southern New England
2021,Spring,Cold,2,0.019963843,Eastern Gulf of Maine
2021,Fall,Hot,1,5.238883779,Stellwagen and Cashes and Northeast Peak and Jordan Basin
2021,Spring,Hot,1,13.43695331,Northeast Peak
2021,Spring,Hot,2,8.467461036,Cashes Ledge
